,Rims1,Satb2,Dpp10,Prox1,Lhx6,Zeb2,Nr4a2,Meis2,Tshz2,Stmn2,Fstl5,Ntng1,Gm26871,Slc24a2,Elavl2,Dab1,Elavl4,Agbl4,Cacna2d1,Gabrb1,Nxph1,Grm8,Tafa1,Chl1,Zfp536,B230209E15Rik,Nr2f2,Hs3st4,Dlgap2,Spock3,Vat1l,Nrgn,Dscaml1,Unc13c,Cacna2d2,Vip,Lrrtm3,Rmst,Ebf1,Vsnl1,Lrfn5,Chrm3,Spock1,Edil3,Rasgrf2,Hcn1,Otx2os1,Pdzrn4,Robo1,Dscam,Baiap3,Gria3,Tenm1,Frmpd4
0583 OB Dopa-Gaba_1,8.355566702316056,0.0,2.506697997762196,0.0,0.0,11.126410017440568,4.167421395031374,11.247616007790636,0.0,0.0,0.9102120000924636,0.0,0.0,5.695093291553099,0.7950441673620423,8.992103383078504,0.0,3.828045474949168,8.393733125658178,9.986353896980855,12.02381446610636,0.0,0.0,0.0,3.306191082854769,0.0,0.0,0.0,9.661064529418946,2.889142121841658,2.376336931826464,0.0,0.0,0.0,6.886783789164984,0.0,8.582280614482823,0.0,0.0,3.124108018448104,7.362726099099686,9.1307331369884,0.7396174772461849,8.707088790722747,0.0,9.187687552153175,0.0,8.293951407475259,7.836890667587964,10.678524734724814,0.0,0.0,2.5077383240657065,9.17481881326704
5193 CBX Purkinje Gaba_1,4.828526268005371,0.0,10.828069648742677,0.0,0.0,4.663651990890503,0.0,0.0,2.7831972789764405,7.532376594543457,4.863108177185058,1.104926815032959,0.0,9.323365020751954,0.0,11.271449584960935,0.1202591800689697,5.564320459365844,0.5299529552459716,0.0,0.3030632305145264,0.0,0.0,3.2361662578582764,2.7883566188812257,1.606440668106079,1.185241813659668,0.0,1.1076202487945557,8.667940521240235,0.0,0.0,0.4095716762542725,5.056283626556397,8.73629165649414,0.0,0.0,0.0,10.72355785369873,0.726978816986084,9.468231353759766,0.0,8.178626918792725,8.32589412689209,0.0,9.667595748901368,0.0,5.2132070446014405,0.0,7.102877006530762,0.0,10.517859725952148,0.0,11.967387466430663
0768 Sst Gaba_3,9.61287930432488,0.0,10.239110469818115,0.0,6.97887238334207,8.811896520502428,0.0,0.0,0.0,8.961415683521944,7.337737910887775,0.0,4.394848115303937,10.146777124965892,9.658344409045052,7.1794875369352456,7.697162011090447,7.659453237757964,0.0,7.390044759301579,10.49509687984691,0.3410275122698615,0.0,9.209555878358728,7.110371842103846,7.048917293548584,3.054215199807111,0.0,10.127792610841638,8.353407551260556,4.097350239753723,2.8027249083799477,7.707708484986249,5.453176792930154,7.411181183422313,0.0,6.938098009894876,0.0,0.0,9.398066268247716,8.601527494542738,9.88945893680348,8.154808044433594,8.314152072457706,8.62524798337151,9.162217392640954,0.0,4.514178787960725,8.803242795607623,8.138777031618005,0.0,9.705952083363252,7.329075715121101,10.190269750707287
0709 Lamp5 Gaba_1,11.183980963029745,0.0,8.664616367020296,7.040515892295924,0.0,8.982403387696221,0.0,0.0,0.0,8.165871059400718,0.0,0.0,2.8419624105204417,8.319879535489644,8.63946351899237,9.98277377636391,7.228924583504741,7.194665834153749,9.67151339670828,7.896030975915018,10.253284916924928,0.0,0.0,7.326726684236418,10.161111290174633,7.031436283795538,2.1385264491806786,4.75811437867291,9.455324634827,8.217011893872685,1.777526921651487,7.360485984642143,8.779351645271921,0.0,0.0,0.0,8.933979030483453,0.0,0.0,8.886772344899693,4.5101761999915215,4.070814384511467,8.964862132987548,8.178294140449799,9.184011059817353,9.859257415285366,0.0,1.5272826751029995,8.777095944723046,0.0,0.0,8.56430047219689,7.20608961347576,10.469500805484714
0738 Pvalb Gaba_2,9.564654672649544,0.0,9.547044225701704,0.0,7.2606452507592145,9.717885120373936,0.0,0.0,5.708639356451974,8.170891222259808,4.6435267399174505,0.0,4.983967390418612,9.422147244914596,9.394781354447488,7.32720930251717,7.82333402230706,8.626031042824328,0.0,8.970616434661435,11.434809093743985,1.458820619493583,0.0,8.41861784849928,8.601704026611758,7.598960952579695,0.0,0.0,10.558537263825466,9.539987008896231,4.3080249280437055,2.7333500452444586,8.020916168678534,0.0,7.290263005825276,0.0,7.035717180637127,0.0,0.0,8.559784786242275,8.511098660213847,7.981713736001315,7.407842812963494,7.057015692124344,8.397393477354811,9.825454568639048,0.0,5.890259637519227,9.37622640726152,0.982353668257664,0.0,9.87336861695482,9.324429095630917,7.548226943038439
0576 OB-out Frmd7 Gaba_2,8.534352158600429,0.0,3.766045669339738,0.0,0.0,11.129332182542331,0.0,11.658730326958423,0.0,0.2277767253371904,9.083719235546184,0.0,0.0,0.0,0.0,9.838131058890864,0.0,0.0,9.164793644311294,0.0,11.978613511571345,0.0,0.0,0.0,10.454085655932156,0.0,0.0,0.0,8.682605806386695,8.691078410958344,0.0,0.0,9.560071081485388,0.0,0.0,0.0,6.096010666973186,0.0,0.0,8.989727020263672,0.0,0.0,0.0,0.6271150067167462,0.0,11.769590629721588,0.0,0.0,3.6708818471656657,0.0,0.0,0.0,2.7745582562572557,11.032774907238078
0568 OB-out Frmd7 Gaba_1,6.2186247521612845,0.0,10.504434314877706,0.0,0.0,11.569175158005097,0.0,11.540068176636009,0.0,0.7487929231735296,6.340453720509225,0.0,0.0,0.0,0.0,10.480081599872706,0.0,0.0,3.082252781464023,3.326070504417586,12.399661355664117,0.0,0.0,0.0,8.962348921330214,0.0,0.0,2.7859049842867787,6.237495892953665,10.354393563416329,0.0,0.0,8.958848259855046,0.0,7.563865821954986,0.0,6.265008599477043,0.0,0.0,6.510641279178936,0.6050202294728642,9.847362759852514,0.0,0.0,0.0,9.37876965385337,0.0,9.043133381672822,6.193797744517764,0.1241441647558753,0.0,0.0,3.634931868340771,9.30412020953982
0747 Pvalb Gaba_4,9.349784941357726,0.0,6.91299063317916,0.0,6.832710754345445,9.312584476435886,0.133677605758695,0.0,0.0,8.453819668030038,6.905563555219594,2.406498938579769,2.777114306740901,10.464229805504576,10.111434350995456,9.93496721895302,7.627116689787192,8.465795312295942,0.0,8.150186877040301,10.73992088787696,0.0,0.0,6.907999648329089,8.991528635515886,7.241174348575227,0.0,0.0,10.321217742912909,9.179891709019156,1.152905641014085,4.0996561074519855,7.1642086067620445,0.0,8.189649725223289,0.0,7.900935162954471,0.0,0.0,8.726419267408987,9.041099547463304,7.751788388718577,8.7358958002399,9.191554150160622,7.814187308006427,10.17244841246044,0.0,0.3818682188935139,9.359831545282812,5.999657157151138,0.0,7.566615547765703,9.177184136474834,9.21421829567236
0574 OB-out Frmd7 Gaba_1,4.880309115634876,0.0,10.66342246130611,0.0,0.0,11.64732600865739,0.0,11.603468755657753,0.0,0.8714228292529502,9.74863357222482,0.0,0.0,0.0,0.0,9.900673716255788,0.0,0.0,8.269216325845612,2.319302569614368,12.268736046351744,0.0,0.0,0.0,10.124411186475433,0.0,0.0,9.22775466522474,8.757377538788184,9.43399154470208,0.0,0.0,9.646177956227506,0.0,3.152890743834249,0.0,0.0,0.0,0.0,7.8951651246360175,4.43424885728386,9.875336261277788,0.0,0.1343902389654952,0.0,9.251128716415234,0.0,8.825536138555977,1.3477713767062411,0.0,0.0,0.0,0.5859247914860758,8.929226010033254
0754 Pvalb Gaba_8,9.215518078175018,0.0,8.299573933382394,0.0,6.41414113068035,9.308881622073152,0.0,0.0,0.0,8.406343438503336,0.0,0.2642505827339979,0.0462440563431433,10.41728536351293,9.610239980397967,8.880090836112743,7.708031289587906,8.129240119999801,0.0,7.982371816539494,10.5057752853986,0.0,0.0,7.255936222537437,8.340824064787876,7.125795708673722,0.0,0.0,10.278817042681576,8.99407594140804,0.153630530751435,3.496563583758044,6.674229281149109,0.0,7.7645515071361775,0.0,7.767490247675925,0.0,0.0,8.60067504744016,8.483706512926906,6.762546883232645,7.887220158556121,8.27522974095206,8.07606957264687,9.998597630377937,0.0,0.8487951716900975,10.42442369007396,3.8341269163277376,0.0,9.03919702202779,7.750766098545277,6.436082207227802
0859 Sst Chodl Gaba_4,9.797111530723813,0.0,9.06637790368038,0.0,6.986263912053978,0.0,0.0,0.0,6.281091087269333,10.065513362674594,3.1914082336350806,0.0,7.624862006625289,2.4498211882024443,9.16581043282395,0.4212238117583892,7.141268502991155,6.626081259745472,0.0,9.439928502406714,10.018293847078048,0.0,0.0,7.337987200644031,7.874017719577694,6.939186444447476,0.0,0.0,9.925861608307317,8.123190010118785,0.0,3.902776135776028,6.728739589640179,0.0,6.896698282199836,0.0,4.055011865852764,0.0,0.0,8.43506764690831,9.257432760682496,3.410183074714253,2.46430253045364,0.0,2.681453735573487,7.298581667291294,0.0,6.0217153776741625,9.981955310833529,9.09281377597425,0.0,7.048061811699058,9.538325620897162,10.079021670533429
0799 Sst Gaba_9,9.256690697236497,0.0,9.405299044618705,0.0,7.223502749144429,8.641789353255069,0.0,0.0,0.0,8.578160875975483,7.3039605858350045,0.0,4.825089883322668,10.230390469233194,9.678375776367956,8.99759994131146,6.386840798638084,7.37048633652504,1.946334292190244,0.0,10.394182833758268,0.0,0.0,9.06887269983388,0.0,7.0889887448513145,0.0,0.0,9.594306129397769,8.08850403145106,5.554870651225851,6.742813188620288,7.280172245671051,10.164849546220568,7.347570091787011,0.0,0.0,0.0,0.0,8.9270364298965,8.847882607970575,10.546957842027298,4.697981555052478,3.757594929801093,3.369854790995819,4.113584517228483,0.0,3.945518362401712,8.817986265577451,9.251605609450678,0.0,9.151336763844345,8.338098680130159,9.672039583475902
0640 Vip Gaba_5,9.048952191633663,0.0,9.67489291488603,8.344114591359396,0.0,10.12519776647362,0.0,0.0,0.0,7.59942927235417,8.281571830326893,0.0,2.814270841136966,9.102674562103894,3.666239550787923,9.99045236882246,7.941704659698308,7.70930351390783,7.545554975726514,8.506892106970962,0.0,0.0,0.0,7.269101486261662,9.848847397562366,7.381996538479196,3.7733145927896303,0.0,8.192201105568222,3.599245090873874,0.0,2.7882762261104306,2.0522570901987502,0.0,0.0,12.361568559363006,7.418517046002536,0.0,0.0,9.293675686805658,9.279191225680249,9.863647310796354,4.511718416353009,9.115066442128173,1.1362770444797703,9.302697779485852,0.0,8.079585571678317,9.12250398407872,10.075244233490078,0.0,0.0,7.779896348280392,11.12941266774436
0860 Sst Chodl Gaba_5,10.302178382873535,0.0,8.886912727355957,0.2574753634134928,9.13585927327474,0.0,0.0,0.0,9.046857566833497,8.774620615641275,8.51775993347168,9.21940892537435,7.921110947926839,7.498764502207438,9.59256504058838,6.624739907582601,7.563172607421875,8.005504010518392,1.301980323791504,10.165024375915529,10.613578160603842,2.6078595797220867,0.0,8.485271600087485,9.006892789204915,8.147208048502604,0.0,0.0,9.58656135559082,9.884681688944498,8.186248677571614,2.3732054011027017,7.542001883188884,1.4008651542663575,6.71322385152181,0.0,4.467374203999837,0.932063159942627,0.0,9.156981684366862,9.800641072591146,8.764123980204264,9.36157293955485,2.2851810518900555,4.551724173227946,9.0075474802653,0.0,6.661048545837402,11.516665115356446,9.255777219136556,7.484673512776693,8.353142668406168,10.245547777811684,8.285826155344646
0628 Vip Gaba_2,9.394626918090731,0.0,7.421335210813775,8.689660584535476,0.0,9.88124418734824,0.0,0.0,0.0,4.493541111449543,8.76989233272732,0.0,3.194967551510276,8.837682589314634,3.320824424482446,9.531700790013463,8.215296022902201,7.9204362360455,7.430362195329217,8.938915515252084,0.0,9.93413741374322,0.0,8.05150085441056,9.2283161560581,7.908172685647657,8.24541823636108,0.0,8.969974223965416,7.914861119252639,1.2116961703660996,1.4680920613135149,3.132996486359078,0.0,0.0,11.342905579211878,8.909497730402055,0.0,0.0,9.870514849283216,9.706791630144975,9.87459758889148,5.580274887329842,7.776560343961402,0.0,9.225089443223112,0.0,7.878254255792724,10.14187937150158,9.717203634101551,0.0,0.0,8.835344617955185,10.48463829709868
0645 Vip Gaba_6,8.798673558471812,0.0,9.407124557802756,7.846391650050805,0.0,10.001307501686416,0.0,0.0,0.0,6.447410963753021,8.510137199468115,0.0,0.6810512384469101,8.898959975088797,4.944356253366021,10.060385998366192,8.122318540258384,5.045923255217578,4.607090805363714,8.25009591688885,0.0,0.0,0.0,8.065545276435966,8.974515820851101,6.509829930277084,8.306568190122656,0.0,9.199228771862854,3.314701305429634,0.0,2.950492390923701,3.999474006166529,0.0,0.0,12.1063092680782,8.186294780327724,0.0,0.0,9.859478701728746,9.556950062735204,10.053007479341096,7.942284683435785,8.710568842609822,0.0,8.854370370987922,0.0,7.924412792432989,9.583734859308002,9.606318104947473,0.0,0.0,8.449855093624693,9.658158090510971
5135 SPVI-SPVC Sall3 Nfib Gly-Gaba_1,9.146845640959564,0.0,6.451199655179624,6.488685766855876,0.0,9.60332489013672,0.0,0.0,11.34036131258364,8.769378308896664,10.936629189385307,6.516364503789832,10.72271297596119,0.0,2.2288812354758933,10.368461185031467,6.3481009448016135,8.08245982064141,0.0,2.388336446550157,9.293309141088416,8.606248272789848,0.0,8.630584222299081,6.800469151249638,6.941001998053657,0.0,0.0,9.250034791451911,9.204444072864671,9.341114185474536,7.369045451835349,9.119400412948044,10.215418780291522,6.778145472208659,0.0,7.727860221156368,9.185424628081146,11.9091471919307,9.961625593679925,9.5143450277823,6.760080584773311,9.42284138997396,0.1713959022804543,0.0,8.792648703963668,0.0,0.0,0.0,0.0,8.60456261811433,7.226374096340603,6.40812188607675,9.699080926400644
0746 Pvalb Gaba_4,9.269281089137976,0.0,7.120111145771725,0.0,7.14819355279627,9.416026319584375,2.73538606737701,0.0,0.0,8.552716475473323,5.044522626635055,0.0,3.753101354921368,10.12569307139222,9.9933557107415,9.697829609185876,7.32050464656991,8.253500018321292,0.0,8.15451147589885,11.09978536955068,5.418982133731036,0.0,8.041997830296905,8.658071574358873,7.330904767211054,0.0,0.0,10.411755056784187,9.2847838227178,4.0151366744242925,4.329062520953971,7.575736117027175,0.0,7.995047856720401,0.0,7.008887844354334,0.0,0.0,8.515021418181943,8.669237147586447,8.283102922036614,7.826403762924839,9.201030492110991,7.949058915527773,10.056267663122902,0.0,0.5083858496706251,9.460947904452471,1.7835121027180847,0.0,9.223135077785438,8.750845318109217,9.139924747843136
0579 OB-mi Frmd7 Gaba_1,4.322575213774195,0.0,9.46993792731807,6.210831498200038,0.0,9.898385740676016,0.0,5.831858720419542,0.0,0.0,2.6369820900683134,0.0,0.0,9.921788197643352,3.381773786724738,10.45510171494394,8.605850219726562,0.4432413398094897,0.0866708935431714,9.6012737885961,12.399185135679424,0.0,0.0,0.0,8.599764945372096,0.0,0.0,2.043513077609944,10.094612175563595,8.124449954842621,7.139396757449744,0.0,5.395751746195667,0.0,7.664223108651503,10.44287605105706,8.613387607178598,0.0,0.0,8.326731420912832,0.2203660236214691,9.09255573884496,3.721321231914017,7.631391124905281,0.0,1.4644472868937366,0.0,6.772170786587697,9.843943757830926,10.647464536271006,0.0,0.0,10.502473957133745,0.0
0726 Lamp5 Lhx6 Gaba_1,10.45572716830879,0.0,9.35035204631026,0.0,8.103121866034778,9.738525762780164,0.0,0.0,0.0,7.499894239569223,3.3422022120072423,0.0,1.1834490183861024,8.782713950321238,9.076043734413748,10.619390583380149,7.627773633139962,7.871570236366709,10.719159446736818,6.705052155106726,10.516239286323602,0.0,0.0,8.695317370489933,10.457844976028662,7.431870741656177,0.0,0.0,9.827394326955186,8.220549992549376,1.3315677550958476,1.7016254476535275,7.8308650975158995,0.0,0.2106737747628201,0.0,7.88695018394019,0.0,0.0,7.617768952496163,7.280866504570062,5.119477979598507,8.840323152507933,9.415267738817413,7.052939204759495,9.8597519359281,0.0,7.272618861394971,9.501528995011444,0.0,0.0,5.421341396894934,10.908570810885411,11.333993973697812
