,bAC,bIR,bNAC,bSTUT,cAC,cADpyr,cIR,cNAC,cSTUT,dNAC,dSTUT
ANcr1purkinjelayer,1139.36279907187,682.0346671805809,1257.9327778656057,322.68165105225654,2257.1395964975445,0.0,277.88208565720254,620.8909003411536,403.7448130220264,206.92588933459444,327.88240195782635
ANcr2,52332.79212827091,22468.243342516576,36182.67207116041,5261.539666037452,47925.157941093836,132322.49144789358,4189.569249618016,12249.367081008366,6397.771385115329,3344.433854575117,10239.506423305096
ANcr2granularlayer,42023.98891531957,17637.656877462734,28804.861144821883,3924.1495997092165,37066.13413793462,127600.75554597996,3009.571805602159,8842.631305989778,4821.194505448834,2708.6676055862367,8767.350991161458
ANcr2molecularlayer,9065.982290363057,4080.0873433895904,5980.211967144263,976.592182791403,8340.756817307358,4721.735901913611,870.1060841484735,2720.6082613917397,1124.1190644170988,401.53986189430526,1101.0092720347552
ANcr2purkinjelayer,1299.2263493540108,783.8567874150908,1458.599782275797,376.49884853960754,2636.541451296708,0.0,322.7543972025903,718.1724087676973,471.9968767440621,244.7405077459247,387.8182318827587
AOBgl,5264.041307184694,2207.8860601687343,3570.1434551086677,490.1501990248362,4866.816923485846,3401.9369091649105,359.280427097103,1175.489314869418,596.7729224100523,344.115218698154,1090.2234824612815
AOBgr,7390.641560170779,3347.611383799926,4996.338754751326,848.3752769985311,7756.245956112438,12918.81137898911,697.0848138092784,2381.1489524260523,983.2722517934023,421.0844127789813,1052.5028659348848
AOBmi,9824.927698988004,4356.727115062205,6749.68394308574,1088.5245838166663,10224.998352257639,9305.21911062324,853.6408216387105,2877.0274209680406,1287.441168691037,632.7169319266773,1695.9051811700529
AON,9226.604811500607,3626.2221437167473,5514.471073052109,534.1604950281941,5258.124608712913,28988.27483262767,463.38141842899216,1353.0455010006033,631.7125596109184,265.8832057646361,1472.0535619724371
AP,38096.96723163206,18563.31954866618,30103.395582100547,5856.5076487905735,43793.95083127259,2505.043535625475,5232.493559449976,13005.753492180642,7106.762747542734,3124.5242868448177,6723.591866877637
APN,13777.647125205138,7439.121928149302,12711.34076396425,2935.949765603827,21565.910399962657,5455.276617916232,2542.678225636437,6238.7948284689055,3605.8793530745593,1733.1307149087486,2991.7216368231793
